clip,frame,t,Root,Pelvis,Spine1,Spine2,Neck,Head,L_Clavicle,R_Clavicle,L_Shoulder,R_Shoulder,L_Elbow,R_Elbow,L_Hand,R_Hand,L_Hip,R_Hip,L_KneeLower,R_KneeLower,L_Foot,R_Foot,L_Toe,R_Toe,Axe_Handle,Axe_Head,Axe_Jaw,Weapon,SnapWeapon,SnapWeapon2Hand
attack1,0,0.0,3.2656|91.9041|26.5319,1.9021|86.9998|24.973,3.0995|99.5588|28.218,7.3613|113.5792|32.306,24.4763|142.5849|32.2866,30.4348|147.6447|34.8885,20.5992|134.7586|35.9015,21.1904|134.4051|28.8741,21.4154|147.4725|51.6846,23.3343|135.0438|8.7153,45.3779|131.6829|80.4122,29.6085|102.6755|-15.4007,66.8338|114.8422|68.0895,34.2286|78.819|-33.1843,-9.4166|80.8242|32.5197,9.9168|80.3054|14.2883,-9.6545|48.1001|68.7939,33.739|45.3209|-10.1082,-38.7648|16.6187|41.9157,12.8009|16.6222|-46.148,-32.2595|7.7395|50.2777,22.4387|7.7442|-41.749,62.8211|90.2811|16.6142,-6.8282|61.5897|-103.4846,-0.694|58.9028|-101.7328,43.6131|70.8518|-36.0023,43.6098|70.8447|-35.9998,34.2309|78.8186|-33.1841
attack1,1,0.0333,4.3207|88.5819|29.7441,2.8453|83.8515|27.8024,4.4513|96.1588|31.7442,8.9948|109.5839|37.4194,27.9814|137.1067|41.4519,34.0384|141.6642|44.6506,23.0275|129.4716|44.1209,24.7786|129.3025|36.9837,22.5778|141.3916|60.5259,29.3681|130.0962|17.2432,42.5175|128.4695|93.4534,35.0294|98.2347|-9.2462,64.468|113.5877|79.5779,39.1483|75.0347|-28.5436,-9.7138|78.225|33.6175,11.6771|76.999|17.89,-10.1564|46.4774|70.7473,34.3143|42.4697|-8.2179,-39.0637|16.2003|42.3114,13.293|16.2904|-46.0774,-32.3701|7.3261|50.5289,23.2042|7.6919|-41.7309,67.4417|86.388|21.4503,-1.4879|57.9598|-99.1255,4.6314|55.262|-97.3387,48.5392|67.0581|-31.3133,47.5934|68.2037|-32.0889,39.1505|75.0343|-28.5434
attack1,2,0.0667,5.4314|85.1839|32.9341,3.9131|80.6463|30.608,5.8031|92.6528|35.2724,10.296|105.3894|42.5704,30.3263|130.9347|51.5413,36.3953|134.9022|55.5716,24.3477|123.6556|52.9086,27.5117|123.6076|46.0087,22.0929|134.81|69.6988,34.2029|123.7878|26.8624,30.6939|129.4942|109.0255,37.8329|94.4738|-4.2837,55.2631|119.2429|95.3474,40.4737|73.1244|-26.9771,-9.5939|75.6796|34.6203,13.4379|73.5793|21.5223,-10.2838|44.9425|72.587,33.9659|38.7101|-5.8345,-38.9414|15.9625|42.5898,12.9776|16.2702|-46.0314,-32.0834|7.0873|50.6694,22.6329|7.4489|-41.5571,69.0586|84.5937|22.8244,-0.5724|55.8848|-97.2815,5.5619|53.1987|-95.5286,49.8594|65.1579|-29.7931,49.8239|65.9467|-29.9844,40.4759|73.124|-26.9769
attack1,3,0.1,6.4865|81.8616|36.1462,5.0237|77.5162|33.4505,7.0128|89.2107|38.8047,10.9674|101.2189|47.6997,30.5593|124.3296|62.4071,36.3381|127.6166|67.5855,23.7359|117.6536|62.0357,28.5945|117.4648|55.9278,18.9905|128.3687|78.5911,37.7971|116.5198|37.8777,12.6347|139.0525|117.2476,39.5006|90.4531|1.2168,40.3074|128.4177|113.1309,40.7649|71.0665|-26.0603,-9.1383|73.2707|35.5993,15.1659|70.179|25.2948,-11.1356|43.8142|74.5227,33.0371|35.2679|-3.8016,-38.8356|16.0487|42.5427,12.5652|16.647|-46.1463,-32.0176|7.1878|50.6717,22.0102|7.5643|-41.7465,69.1692|82.4869|23.8558,-0.0285|53.8974|-96.5292,6.0925|51.1982|-94.7502,50.1444|63.0783|-28.8352,50.2426|63.7458|-29.318,40.7671|71.0661|-26.06
attack1,4,0.1333,7.3793|78.7515|39.4393,6.0392|74.5476|36.4723,8.0169|86.0191|42.2839,11.0187|97.4938|52.3831,28.2558|118.3469|72.4402,33.2995|121.0134|78.8758,21.03|112.4875|70.112,27.5276|111.6604|65.4748,13.5257|123.6348|85.3053,39.7195|108.9153|49.4996,-4.0296|143.9164|115.7904,40.4533|85.0361|7.5593,22.5487|139.3586|128.7768,41.009|67.1076|-23.6978,-8.4971|71.1107|36.7688,16.6844|66.7471|29.4689,-13.453|43.2798|76.6132,31.5083|32.6683|-2.1977,-38.8586|16.4693|42.02,12.7287|16.3162|-46.2191,-32.3574|7.6483|50.4464,22.2863|7.3752|-41.7723,69.5866|78.463|26.1344,-0.0295|50.0307|-94.047,6.0962|47.3268|-92.2914,50.3755|59.118|-26.5126,50.652|59.7979|-26.4977,41.0113|67.1072|-23.6976
attack1,5,0.1667,7.9139|76.0949|43.1038,6.7283|71.9862|39.9468,8.6618|83.3102|46.0468,10.5197|94.4878|56.9126,23.9055|113.6214|81.1815,27.7852|115.7812|88.7674,16.8483|108.6941|76.8677,24.4642|106.7594|74.2822,7.2411|121.1273|89.6947,39.7476|101.6846|61.9514,-11.6685|143.6943|117.6595,40.6592|79.107|16.0794,6.9725|147.8745|140.7004,41.3397|62.338|-17.4335,-7.8842|69.2679|38.4335,17.7607|63.6882|34.2334,-16.3336|43.4054|79.0098,30.0219|31.4883|-0.3504,-38.6001|16.5353|42.3608,13.1261|16.9801|-45.7516,-32.0296|7.7315|50.7514,22.8063|8.1551|-41.3384,70.0942|73.584|32.322,0.04|45.4234|-87.6692,6.1372|42.659|-85.9084,50.6141|54.2332|-20.224,51.5394|54.7333|-21.8659,41.342|62.3376|-17.4333
attack1,6,0.2,7.6605|74.4617|47.3383,6.5203|70.3675|44.1485,8.7763|81.6771|50.1555,10.0267|93.0036|61.1121,17.9687|111.7176|87.963,19.8928|113.7443|96.4839,11.8693|107.8134|81.5598,19.5544|104.0363|81.9934,1.6035|122.9545|90.3219,36.9569|95.0594|76.7064,-29.3544|147.3915|99.9817,42.462|73.8295|29.657,-19.7893|151.1907|128.0871,46.4594|58.4165|-4.5134,-7.8803|68.2914|40.7551,17.7685|61.3401|40.2499,-28.2162|40.589|75.4787,33.4576|27.2155|9.0683,-38.9577|16.6173|32.2246,16.8055|16.2499|-37.4009,-34.6782|7.8143|41.9854,25.529|7.4421|-31.2864,72.8627|69.7393|46.5118,8.5105|41.3731|-76.5846,14.6125|38.7617|-74.6188,56.075|50.6295|-7.042,57.5744|51.406|-8.1708,46.4616|58.4161|-4.5131
attack1,7,0.2333,6.5494|74.2856|48.4826,5.4373|70.1647|45.3202,8.0913|81.4789|51.1444,9.2111|93.141|61.8822,10.5265|113.1421|88.9465,10.0201|115.573|97.7059,6.4362|109.7091|80.8402,12.6754|104.4124|84.4837,-2.924|127.231|84.9373,28.4477|92.1814|88.0925,-36.3859|145.3227|70.7295,43.4156|71.5241|44.7084,-49.0757|152.1002|96.9757,53.4894|60.1101|11.9758,-8.3602|68.1729|39.9474,16.85|60.654|43.7353,-44.7827|38.0143|52.2193,39.7343|20.1024|29.0674,-39.6898|16.9667|6.4812,25.6007|15.8879|-19.3038,-41.5734|8.0909|16.9096,30.984|7.1146|-10.0781,71.1574|71.9253|66.5389,27.9859|42.3178|-65.2113,33.9605|40.1912|-62.4362,64.0501|53.3027|10.7027,64.9419|53.2136|12.2759,53.4916|60.1099|11.9764
attack1,8,0.2667,4.1044|76.6258|43.6449,3.1549|72.3512|40.6401,5.8141|83.8811|46.0128,6.6802|96.147|56.1487,1.9856|119.173|80.2738,-0.6098|122.6146|88.3706,0.3151|115.2947|71.4872,4.1426|109.3932|77.8031,-7.1368|134.1547|71.0551,13.9688|95.9717|89.4089,-35.2708|148.3642|45.4537,44.5525|68.4331|63.7545,-59.525|153.2849|62.2864,63.136|57.8245|38.8039,-9.738|69.6193|33.6035,14.6698|62.8899|41.6911,-45.6459|37.853|24.2077,35.9371|21.7004|57.0386,-40.769|16.6821|-21.4971,35.8851|14.8067|6.9288,-49.2023|7.8565|-15.0108,35.9175|5.9038|17.5023,59.0633|73.7213|95.014,68.5929|34.1865|-40.7968,73.5158|33.1895|-36.0335,74.4198|52.9248|41.6599,74.5223|54.3496|43.424,63.1378|57.8247|38.8052
attack1,9,0.3,-0.7706|83.4571|28.1391,-1.3985|78.9647|25.3807,0.7487|90.8625|30.1351,0.7054|103.9447|39.2132,-9.6736|129.9295|57.9567,-14.108|134.2153|64.7113,-8.8821|125.0494|49.5052,-7.4964|119.4329|57.7708,-14.7362|143.868|44.7093,-6.1788|107.8295|74.3541,-35.9542|157.8033|13.0159,30.7435|77.9486|77.8328,-64.5689|154.9878|21.3272,55.1059|64.8752|66.1854,-13.2982|74.8738|17.3269,10.3076|70.273|28.6419,-40.8742|40.7604|-4.1817,22.609|40.5899|65.441,-40.7141|15.8193|-48.214,46.5122|14.1363|29.5282,-51.3085|6.9398|-48.2502,41.7105|5.2598|38.9733,25.7347|84.0561|113.0712,96.4716|36.5673|-0.2398,98.7983|36.295|6.2742,64.144|61.1194|74.1665,65.4594|60.6457|74.8599,55.107|64.8757|66.1874
