skin,clip,mark,type,kind,start,end,detail,bones
skin0(base),Death,Audio_Death,SoundEventData,SOUND,,,Play_sfx_Darius_Death3D_cast,
skin0(base),Joke,Audio_Joke,SoundEventData,SOUND,46.0,,Play_sfx_Darius_Joke3D_buffactivate,
skin0(base),Taunt,Audio_Taunt,SoundEventData,SOUND,,,Play_sfx_Darius_Taunt3D_buffactivate,
skin0(base),Dance,Audio_Dance,SoundEventData,SOUND,,,Play_sfx_Darius_Dance3D_buffactivate,
skin0(base),{1a24a1f0},SnapWeapon,JointSnapEventData,JOINT,,,weapon->SnapWeapon2Hand,
skin15(神王),Crit,{bf57e8fe},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_DariusBasicAttack_foley,
skin15(神王),Death,wolf,SubmeshVisibilityEventData,SUBMESH,,,Wolf_Mat,
skin15(神王),Death,{5e062102},ParticleEventData,PARTICLE,63.0,,Darius_Z_Death,Root
skin15(神王),Death,{ef4701b1},JointSnapEventData,JOINT,,,weapon->SnapWeapon,
skin15(神王),Death,{dbaf4421},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_death_oba,
skin15(神王),Joke_Loop,wolf,SubmeshVisibilityEventData,SUBMESH,,,Wolf_Mat,
skin15(神王),Joke_Loop,{567d4bb2},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_joke_loop,
skin15(神王),Spell2,{767dd48f},ParticleEventData,PARTICLE,,40.0,Darius_W_Cast,Root
skin15(神王),Spell3,{767dd48f},ParticleEventData,PARTICLE,,,Darius_E_Cast,Axe_Head
skin15(神王),Spell3,{0745a793},ParticleEventData,PARTICLE,8.0,,Darius_E_ClawMarks,C_Buffbone_GLB_Layout_Loc
skin15(神王),Taunt,wolf,SubmeshVisibilityEventData,SUBMESH,33.0,205.0,Wolf_Mat,
skin15(神王),Taunt,{d6394b54},ParticleEventData,PARTICLE,,0.0,Darius_Z_Wolf_Trail,R_Lion_Hand|L_Lion_Hand
skin15(神王),Taunt,{2ffe02c4},ParticleEventData,PARTICLE,41.0,95.0,Darius_Z_Wolf_Trail,R_Lion_Hand|L_Lion_Hand
skin15(神王),Taunt,{f44131a7},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_taunt_oba,
skin15(神王),Recall,Throne,SubmeshVisibilityEventData,SUBMESH,17.0,260.0,Throne_mat,
skin15(神王),Recall,wolf,SubmeshVisibilityEventData,SUBMESH,178.0,260.0,Wolf_Mat,
skin15(神王),Recall,{df529004},ParticleEventData,PARTICLE,,,Darius_Z_Recall_Ground,BUFFBONE_GLB_GROUND_LOC
skin15(神王),Recall,{d33f1522},ParticleEventData,PARTICLE,70.0,155.0,Darius_Z_Recall_Gem,Gem
skin15(神王),Recall,{2ecd1953},ParticleEventData,PARTICLE,148.0,165.0,Darius_Z_Throne_Burst,Gem
skin15(神王),Recall,{5aa1c18a},ParticleEventData,PARTICLE,143.0,155.0,Darius_Z_Recall_Impact,BUFFBONE_GLB_GROUND_LOC
skin15(神王),Recall,{2ffe02c4},ParticleEventData,PARTICLE,195.0,221.0,Darius_Z_Wolf_Trail,R_Lion_Hand|L_Lion_Hand
skin15(神王),Recall,{5d61554a},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_recall_leadin,
skin15(神王),Recall,FaceCamera,FaceTargetEventData,OTHER,,,,
skin15(神王),Attack1,{a951ed9a},ParticleEventData,PARTICLE,,30.0,Darius_BA_Swipe_01,C_Buffbone_GLB_Layout_Loc
skin15(神王),Attack1,{bf57e8fe},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_DariusBasicAttack_foley,
skin15(神王),Attack2,{a951ed9a},ParticleEventData,PARTICLE,,30.0,Darius_BA_Swipe_02,C_Buffbone_GLB_Layout_Loc
skin15(神王),Attack2,{bf57e8fe},SoundEventData,SOUND,,,Play_sfx_DariusSkin15_DariusBasicAttack_foley,
skin15(神王),Dance,{0a0999ed},SubmeshVisibilityEventData,SUBMESH,,,Wolf_Mat,
